# 단일 인스턴스 + 세마포어 (동시 처리 50)
# TOTAL_REQUESTS = 1000
# CONCURRENT_TASKS = 50

[INFO] 요청 109 완료 (응답 시간: 79.5535초)
[INFO] 요청 110 완료 (응답 시간: 79.6542초)
[INFO] 요청 111 완료 (응답 시간: 79.7106초)
[INFO] 요청 112 완료 (응답 시간: 79.8836초)
[INFO] 요청 113 완료 (응답 시간: 79.8546초)
[INFO] 요청 114 완료 (응답 시간: 80.9794초)
[INFO] 요청 115 완료 (응답 시간: 81.0285초)
[INFO] 요청 116 완료 (응답 시간: 81.5506초)
[INFO] 요청 117 완료 (응답 시간: 81.5523초)
[INFO] 요청 118 완료 (응답 시간: 82.4010초)
[INFO] 요청 119 완료 (응답 시간: 82.3456초)
[INFO] 요청 120 완료 (응답 시간: 82.3482초)
[INFO] 요청 121 완료 (응답 시간: 82.3629초)
[INFO] 요청 122 완료 (응답 시간: 82.3028초)
[INFO] 요청 123 완료 (응답 시간: 82.3340초)
[INFO] 요청 124 완료 (응답 시간: 82.3886초)
[INFO] 요청 125 완료 (응답 시간: 82.3615초)
[INFO] 요청 126 완료 (응답 시간: 82.2888초)
[INFO] 요청 127 완료 (응답 시간: 82.4399초)
[INFO] 요청 128 완료 (응답 시간: 82.8898초)
[INFO] 요청 129 완료 (응답 시간: 82.9537초)
[INFO] 요청 130 완료 (응답 시간: 82.9046초)
[INFO] 요청 131 완료 (응답 시간: 83.5545초)
[INFO] 요청 132 완료 (응답 시간: 83.6432초)
[INFO] 요청 133 완료 (응답 시간: 83.7115초)
[INFO] 요청 134 완료 (응답 시간: 83.8399초)
[INFO] 요청 135 완료 (응답 시간: 83.8140초)
[INFO] 요청 136 완료 (응답 시간: 83.6647초)
[INFO] 요청 137 완료 (응답 시간: 83.7129초)
[INFO] 요청 138 완료 (응답 시간: 83.9687초)
[INFO] 요청 139 완료 (응답 시간: 83.2690초)
[INFO] 요청 140 완료 (응답 시간: 83.1968초)
[INFO] 요청 141 완료 (응답 시간: 83.1230초)
[INFO] 요청 142 완료 (응답 시간: 82.7894초)
[INFO] 요청 143 완료 (응답 시간: 82.7499초)
[INFO] 요청 144 완료 (응답 시간: 82.7994초)
[INFO] 요청 145 완료 (응답 시간: 83.0128초)
[INFO] 요청 146 완료 (응답 시간: 82.9795초)
[INFO] 요청 147 완료 (응답 시간: 83.3568초)
[INFO] 요청 148 완료 (응답 시간: 83.3823초)
[INFO] 요청 149 완료 (응답 시간: 83.2946초)
[INFO] 요청 150 완료 (응답 시간: 83.2712초)
[INFO] 요청 151 완료 (응답 시간: 83.3381초)
[INFO] 요청 152 완료 (응답 시간: 83.3683초)
[INFO] 요청 153 완료 (응답 시간: 84.0739초)
[INFO] 요청 154 완료 (응답 시간: 84.0599초)
[INFO] 요청 155 완료 (응답 시간: 84.0100초)
[INFO] 요청 156 완료 (응답 시간: 83.9663초)
[INFO] 요청 157 완료 (응답 시간: 84.3477초)
[INFO] 요청 158 완료 (응답 시간: 84.2808초)
[INFO] 요청 159 완료 (응답 시간: 84.4730초)
[INFO] 요청 160 완료 (응답 시간: 84.3648초)
[INFO] 요청 161 완료 (응답 시간: 84.3377초)
[INFO] 요청 162 완료 (응답 시간: 84.4354초)
[INFO] 요청 163 완료 (응답 시간: 84.1935초)
[INFO] 요청 164 완료 (응답 시간: 83.1919초)
[INFO] 요청 165 완료 (응답 시간: 83.3399초)
[INFO] 요청 166 완료 (응답 시간: 83.0954초)
[INFO] 요청 167 완료 (응답 시간: 83.0111초)
[INFO] 요청 168 완료 (응답 시간: 82.2291초)
[INFO] 요청 169 완료 (응답 시간: 82.1600초)
[INFO] 요청 170 완료 (응답 시간: 82.0365초)
[INFO] 요청 171 완료 (응답 시간: 81.9502초)
[INFO] 요청 172 완료 (응답 시간: 81.9801초)
[INFO] 요청 173 완료 (응답 시간: 82.7791초)
[INFO] 요청 174 완료 (응답 시간: 82.8024초)
[INFO] 요청 175 완료 (응답 시간: 82.9634초)
[INFO] 요청 176 완료 (응답 시간: 82.8371초)
[INFO] 요청 177 완료 (응답 시간: 82.9120초)
[INFO] 요청 178 완료 (응답 시간: 82.7894초)
[INFO] 요청 179 완료 (응답 시간: 82.8209초)
[INFO] 요청 180 완료 (응답 시간: 82.9149초)
[INFO] 요청 181 완료 (응답 시간: 82.6026초)
[INFO] 요청 182 완료 (응답 시간: 82.6711초)
[INFO] 요청 183 완료 (응답 시간: 82.7934초)
[INFO] 요청 184 완료 (응답 시간: 82.7751초)
[INFO] 요청 185 완료 (응답 시간: 82.6791초)
[INFO] 요청 186 완료 (응답 시간: 82.6805초)
[INFO] 요청 187 완료 (응답 시간: 82.6716초)
[INFO] 요청 188 완료 (응답 시간: 82.4913초)
[INFO] 요청 189 완료 (응답 시간: 82.5522초)
[INFO] 요청 190 완료 (응답 시간: 82.6065초)
[INFO] 요청 191 완료 (응답 시간: 82.5876초)
[INFO] 요청 192 완료 (응답 시간: 82.7240초)
[INFO] 요청 193 완료 (응답 시간: 82.7242초)
[INFO] 요청 194 완료 (응답 시간: 82.6797초)
[INFO] 요청 195 완료 (응답 시간: 82.5497초)
[INFO] 요청 196 완료 (응답 시간: 82.6240초)
[INFO] 요청 197 완료 (응답 시간: 82.5090초)
[INFO] 요청 198 완료 (응답 시간: 82.5285초)
[INFO] 요청 199 완료 (응답 시간: 82.5009초)
[INFO] 요청 200 완료 (응답 시간: 82.6077초)
[INFO] 요청 201 완료 (응답 시간: 82.7465초)
[INFO] 요청 202 완료 (응답 시간: 82.7017초)
[INFO] 요청 203 완료 (응답 시간: 82.1406초)
[INFO] 요청 204 완료 (응답 시간: 82.1478초)
[INFO] 요청 205 완료 (응답 시간: 83.4029초)
[INFO] 요청 206 완료 (응답 시간: 83.9531초)
[INFO] 요청 207 완료 (응답 시간: 83.5035초)
[INFO] 요청 208 완료 (응답 시간: 83.4787초)
[INFO] 요청 209 완료 (응답 시간: 83.2638초)
[INFO] 요청 210 완료 (응답 시간: 83.2874초)
[INFO] 요청 211 완료 (응답 시간: 84.2636초)
[INFO] 요청 212 완료 (응답 시간: 84.5217초)
[INFO] 요청 213 완료 (응답 시간: 84.6734초)
[INFO] 요청 214 완료 (응답 시간: 86.2328초)
[INFO] 요청 215 완료 (응답 시간: 86.5779초)
[INFO] 요청 216 완료 (응답 시간: 86.3058초)
[INFO] 요청 217 완료 (응답 시간: 86.2276초)
[INFO] 요청 218 완료 (응답 시간: 86.1755초)
[INFO] 요청 219 완료 (응답 시간: 86.0920초)
[INFO] 요청 220 완료 (응답 시간: 86.1156초)
[INFO] 요청 221 완료 (응답 시간: 86.3097초)
[INFO] 요청 222 완료 (응답 시간: 86.3132초)
[INFO] 요청 223 완료 (응답 시간: 85.4866초)
[INFO] 요청 224 완료 (응답 시간: 85.5046초)
[INFO] 요청 225 완료 (응답 시간: 85.4535초)
[INFO] 요청 226 완료 (응답 시간: 85.5152초)
[INFO] 요청 227 완료 (응답 시간: 85.3922초)
[INFO] 요청 228 완료 (응답 시간: 85.1988초)
[INFO] 요청 229 완료 (응답 시간: 85.0928초)
[INFO] 요청 230 완료 (응답 시간: 85.0613초)
[INFO] 요청 231 완료 (응답 시간: 84.6913초)
[INFO] 요청 232 완료 (응답 시간: 85.3532초)
[INFO] 요청 233 완료 (응답 시간: 85.4454초)
[INFO] 요청 234 완료 (응답 시간: 86.0953초)
[INFO] 요청 235 완료 (응답 시간: 86.1060초)
[INFO] 요청 236 완료 (응답 시간: 86.1239초)
[INFO] 요청 237 완료 (응답 시간: 86.0666초)
[INFO] 요청 238 완료 (응답 시간: 85.9727초)
